patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow,s2_product,s1_product,s1_mission
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_39,"[""Arable land"", ""Broad-leaved forest"", ""Inland waters""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_61_39,S2A_MSIL2A_20170613T101031_61_39,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_40,"[""Arable land"", ""Broad-leaved forest"", ""Inland waters"", ""Inland wetlands"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Urban fabric""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_61_40,S2A_MSIL2A_20170613T101031_61_40,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_41,"[""Arable land"", ""Broad-leaved forest"", ""Coniferous forest"", ""Urban fabric""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_61_41,S2A_MSIL2A_20170613T101031_61_41,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_42,"[""Arable land"", ""Coniferous forest""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_61_42,S2A_MSIL2A_20170613T101031_61_42,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_39,"[""Arable land"", ""Broad-leaved forest"", ""Inland waters"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_39,S2A_MSIL2A_20170613T101031_62_39,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_40,"[""Arable land"", ""Broad-leaved forest"", ""Inland waters"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_40,S2A_MSIL2A_20170613T101031_62_40,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_41,"[""Arable land"", ""Coniferous forest""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_41,S2A_MSIL2A_20170613T101031_62_41,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_42,"[""Arable land"", ""Coniferous forest"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_42,S2A_MSIL2A_20170613T101031_62_42,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_43,"[""Arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_43,S2A_MSIL2A_20170613T101031_62_43,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_62_44,"[""Arable land"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Urban fabric""]",test,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_62_44,S2A_MSIL2A_20170613T101031_62_44,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
