patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow,s2_product,s1_product,s1_mission
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_74,"[""Mixed forest"", ""Pastures""]",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_85_74,S2A_MSIL2A_20170613T101031_85_74,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_03_46,"[""Broad-leaved forest"", ""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_3_46,S2A_MSIL2A_20170704T112111_3_46,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_07_61,"[""Broad-leaved forest"", ""Mixed forest"", ""Pastures""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_7_61,S2A_MSIL2A_20170617T113321_7_61,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064724,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_26_06,"[""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064235_29SND_26_6,S2A_MSIL2A_20170704T112111_26_6,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064235,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_65_10,"[""Transitional woodland, shrub""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_65_10,S2A_MSIL2A_20170617T113321_65_10,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064659,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_90,"[""Arable land"", ""Pastures""]",train,Ireland,S1A_IW_GRDH_1SDV_20170615T181403_29UPU_55_90,S2A_MSIL2A_20170617T113321_55_90,False,True,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170615T181403,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_51_08,"[""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064235_29SND_51_8,S2A_MSIL2A_20170704T112111_51_8,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064235,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_23_88,"[""Arable land"", ""Pastures""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_23_88,S2A_MSIL2A_20170617T113321_23_88,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064724,S1A
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_59_03,"[""Coniferous forest"", ""Mixed forest"", ""Transitional woodland, shrub""]",train,Finland,S1A_IW_GRDH_1SDV_20170630T152421_35VPK_59_3,S2A_MSIL2A_20170701T093031_59_3,False,False,S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK,S1A_IW_GRDH_1SDV_20170630T152421,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_32_83,"[""Arable land"", ""Pastures""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_32_83,S2A_MSIL2A_20170617T113321_32_83,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064724,S1A
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_84_66,"[""Arable land"", ""Complex cultivation patterns"", ""Coniferous forest"", ""Mixed forest""]",train,Austria,S1A_IW_GRDH_1SDV_20170613T165043_33UUP_84_66,S2A_MSIL2A_20170613T101031_84_66,False,False,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP,S1A_IW_GRDH_1SDV_20170613T165043,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_08_59,"[""Arable land"", ""Broad-leaved forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064724_29UPU_8_59,S2A_MSIL2A_20170617T113321_8_59,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064724,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_87,"[""Mixed forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_40_87,S2A_MSIL2A_20170704T112111_40_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_37_08,"[""Arable land"", ""Pastures""]",train,Ireland,S1A_IW_GRDH_1SDV_20170617T064659_29UPU_37_8,S2A_MSIL2A_20170617T113321_37_8,False,False,S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU,S1A_IW_GRDH_1SDV_20170617T064659,S1A
