condition,coverage,macro_f1_all,micro_f1,macro_precision_all,macro_recall_all,hamming_acc,exact_match_acc,mean_entropy,macro_f1,macro_f1_valid,macro_precision_valid,macro_recall_valid,n_valid_classes
A,0.0,0.46398468028648293,0.6197292069632495,0.4155374814899824,0.574838122980702,0.8539882160716938,0.09031044214487301,0.37571248412132263,0.46398468028648293,0.5509818078401986,0.49345075926935406,0.6826202710395836,16
C-early,0.0,0.4348921625821115,0.587532023911187,0.3826784130739373,0.5727176155798485,0.8325989008268555,0.07525870178739416,0.3737405836582184,0.4348921625821115,0.5164344430662573,0.4544306155253005,0.6801021685010702,16
C-late,0.0,0.436286949896705,0.5829565217391305,0.3660237054119483,0.611138318555462,0.8219042432044363,0.06302916274694262,0.39433756470680237,0.436286949896705,0.5180907530023373,0.4346531501766886,0.7257267532846112,16
C-fixed50,0.0,0.430144507419374,0.5680970149253731,0.37923320970998536,0.589750656973007,0.8166064266970342,0.03198494825964252,0.36572450399398804,0.430144507419374,0.5107966025605066,0.4503394365306076,0.7003289051554458,16
B,0.25,0.4535365589306638,0.6127693749163432,0.4254409927194263,0.5418869410032741,0.8567609050849136,0.09877704609595485,0.3816571831703186,0.4535365589306638,0.5385746637301632,0.5052111788543188,0.6434907424413879,16
C-early,0.25,0.4392659000644607,0.591354885579368,0.3805154952423218,0.5827106390579089,0.8328959746497004,0.09313264346190028,0.38032713532447815,0.4392659000644607,0.5216282563265471,0.4518621506002571,0.6919688838812668,16
C-late,0.25,0.43436975485970525,0.5816825914705197,0.36465014982375693,0.6061699868434186,0.8222508293310887,0.06961429915333961,0.4004177153110504,0.43436975485970525,0.5158140838959,0.4330220529157114,0.7198268593765595,16
C-fixed50,0.25,0.4419050296883552,0.5899903753609239,0.3846731016750008,0.590363136607802,0.831262068624053,0.05644402634054563,0.375772088766098,0.4419050296883552,0.5247622227549218,0.45679930823906345,0.701056224721765,16
B,0.5,0.41680700372013235,0.5834490419327965,0.44222172181469294,0.48115995489469815,0.8514630885775115,0.09971777986829727,0.3928226828575134,0.41680700372013235,0.4949583169176571,0.5251382946549478,0.5713774464374539,16
C-early,0.5,0.43822550653835807,0.5861740166865316,0.3727100624489007,0.5917154409280253,0.8280932811803733,0.09689557855126998,0.3955655097961426,0.43822550653835807,0.5203927890143002,0.44259319915806955,0.7026620861020302,16
C-late,0.5,0.434352690503747,0.5789412177164894,0.36521905692164774,0.6061701423149701,0.8216071693815913,0.08748824082784572,0.41344499588012695,0.434352690503747,0.5157938199731995,0.4336976300944567,0.719827043999027,16
C-fixed50,0.5,0.4430157101479053,0.5957188032108975,0.382810463894915,0.5826136873235002,0.8354211021438828,0.08090310442144873,0.39364463090896606,0.4430157101479053,0.5260811558006375,0.4545874258752116,0.6918537536966566,16
B,0.75,0.3380263001468133,0.5126224306800938,0.3814246268079567,0.4106334377143796,0.8250730306481161,0.06867356538099718,0.3998684585094452,0.3380263001468133,0.4014062314243408,0.45294174433444856,0.48762720728582587,16
C-early,0.75,0.42437491874670347,0.5684408412642463,0.35790050890636155,0.5802248670161018,0.8181413081150666,0.09595484477892756,0.41402071714401245,0.42437491874670347,0.5039452160117104,0.42500685432630436,0.6890170295816207,16
C-late,0.75,0.42394419808508355,0.5637806466895653,0.36015419058098247,0.5812551422352185,0.8176461850769916,0.09689557855126998,0.4277091920375824,0.42394419808508355,0.5034337352260367,0.4276831013149167,0.6902404814043219,16
C-fixed50,0.75,0.43262872733225477,0.5811512006757572,0.3706875201544976,0.5705368778441531,0.8281427934841809,0.09219190968955786,0.41439375281333923,0.43262872733225477,0.5137466137070525,0.44019143018346585,0.6775125424399319,16
