model,coverage,macro_f1,micro_f1
round2_shallow_B,0.0,0.6507937394976794,0.7080070026720723
round2_shallow_C,0.0,0.6310274956007776,0.6808288351036044
round3_deep_B,0.0,0.6721139312465843,0.7198375334625681
round3_deep_C,0.0,0.6440442652791281,0.690371697268249
round2_shallow_B,0.25,0.6474465868331281,0.7162836185819071
round2_shallow_C,0.25,0.6405576615812205,0.693960562383942
round3_deep_B,0.25,0.6562858748857631,0.7140466581356433
round3_deep_C,0.25,0.657567970186345,0.7056257384349722
round2_shallow_B,0.5,0.6152565395621101,0.7060032894736842
round2_shallow_C,0.5,0.6478300934372143,0.7012037449843959
round3_deep_B,0.5,0.6105490862582578,0.6870196862827667
round3_deep_C,0.5,0.6662245910125263,0.7166972477064221
round2_shallow_B,0.75,0.5370070648357175,0.6596836254809748
round2_shallow_C,0.75,0.6359128509040508,0.6895381041722505
round3_deep_B,0.75,0.5266407770024174,0.6320733616640573
round3_deep_C,0.75,0.6620540363293794,0.715138162122464
